id,Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Breach Submission Date,Type of Breach,Location of Breached Information,Business Associate Present,Web Description
1009,"Tomas, Arturo",IL,Business Associate,680,02/09/2015,Loss,Paper/Films,Yes,"On February 2, 2014, Artuo D. Tomas, MD LTD's office, the covered entity (CE), discovered that a package containing the protected health information (PHI) of approximately 680 individuals had been lost in the process of shipment to its billing company through the U.S. Postal Service (USPS).  The PHI included individuals’ names, addresses, phone numbers, dates of birth, referring physician names, medical record numbers, diagnoses, and clinical information.  The CE  provided notification of the breach to the affected individuals, HHS, and the media.  The CE also filed a claim with the USPS regarding the missing package.  Following the breach, the CE implemented a new procedure for sending PHI to the billing company that requires PHI to be transmitted either electronically through a secure and encrypted portal or through a third-party mail service with tracking capabilities.  Additionally, the CE developed policies and procedures regarding compliance with the Breach Notification Rule.  OCR obtained assurances that the CE implemented the corrective actions listed.

"
1010,"Senior Health Partners, a Healthfirst company",NY,Health Plan,2772,02/06/2015,Theft,"Laptop, Other Portable Electronic Device",No,
1011,Planned Parenthood Southwest Ohio,OH,Healthcare Provider,5000,02/05/2015,Improper Disposal,Paper/Films,No,"On October 1, 2014, the Covered Entity (CE) mistakenly disposed of binders containing protected health information (PHI).  The CE’s archived prescription dispensing logs and waived lab test logs were left in an unlocked closet after business hours and a custodian mistakenly put them in a trash dumpster.   The following morning, the dumpster was emptied by the trash collector who took it to be buried with other garbage at a landfill that same day.  The PHI involved in the incident included the names, dates of birth, lab results, and medications of approximately 5,000 individuals.  After the CE filed the breach report, it determined that the incident was a non-reportable breach based on a four-part breach assessment and a low probability that the PHI in the binders had been compromised.   The CE stated that its breach filing to OCR was not untimely, but was made in error.   The CE conducted an investigation, re-trained all staff regarding its HIPAA policies and procedures, completed on-site HIPAA compliance audits, and implemented a new policy to address bulk trash removal from the health centers.   OCR obtained written assurances that the voluntary actions of the CE listed above were taken."
1012,South Sunflower County Hospital,MS,Healthcare Provider,19000,02/04/2015,Improper Disposal,Paper/Films,No,"A local merchant sent a package with shredded documents containing protected health information (PHI) from the covered entity (CE), South Sunflower County Hospital, used as packing material.  The PHI included the dates of service, providers’ names, diagnoses, patients’ names, social security numbers, and dates of birth of 19,345 individuals.  The CE retrieved the remaining shredded documents and stored them in a locked room with limited access.   The CE provided breach notification to HHS, affected individuals, and the media.  The CE investigated and modified its policies and procedures.  It contracted with a document shredding company to destroy all hospital paper waste containing PHI and initiated a process to convert health records to an electronic format.  As a result of the investigation, OCR reviewed the CE’s HIPAA policies and procedures."
1013,Boston Baskin Cancer Foundation,TN,Healthcare Provider,56694,02/02/2015,Theft,Other Portable Electronic Device,No,"On December 2, 2014, a Boston Baskin Cancer Foundation employee’s laptop computer and external hard drive were stolen. The external hard drive contained the electronic protected health information (ePHI) of 56,000 individuals and included patients' names, dates of birth, social security numbers, addresses, phone numbers, clinic medical record numbers, and the first and last dates seen by the clinic. The investigation concluded that the ePHI was copied and stored on an unencrypted external hard.  The covered entity (CE) provided breach notification to HHS, affected individuals, and the media, and offered affected individuals complimentary credit monitoring.  In response to the breach, the CE deployed software to prevent the downloading of unencrypted documents from computers to portable media.  The CE implemented a policy requiring employees to create a passcode for their mobile devices.  The CE also revised its risk management policy and established procedures for the removal of hardware and electronic media containing ePHI.  After the breach the CE retrained staff and physicians on its HIPAA policies.  OCR obtained assurances that the CE implemented the corrective actions listed above.
"
1014,"UMass Memorial Medical Group, Inc.",MA,Healthcare Provider,14100,01/30/2015,Theft,Other,No,
1015,"North Dallas Urogynecology, PLLC.",TX,Healthcare Provider,678,01/29/2015,Theft,Laptop,No,"The covered entity (CE), North Dallas Urogynecology, reported the theft of several items and four unencrypted laptops as a result of a break-in.  The incident was immediately reported to the police and an investigation ensued.  Approximately 678 patients’ protected health information (PHI) was affected by the breach, which included patient’s names, social security numbers, dates of birth, and lab results.  The CE provided breach notification to HHS, affected individuals, and the media.  Following the breach the CE increased security within the office and implemented additional physical, technical, and administrative safeguards to ensure the security of electronic PHI. All laptops have encryption technology.  In addition, all workforce members were trained or retrained concerning the requirements for compliance with the Privacy, Security, and Breach Notification Rules.  OCR obtained assurances that the CE implemented the corrective actions listed."
1016,Riverside County Regional Medical Center,CA,Healthcare Provider,7925,01/29/2015,Theft,Laptop,No,
1017,"Kaiser Foundation Health Plan of the Mid-Atlantic States, Inc.",MD,Health Plan,630,01/29/2015,Unauthorized Access/Disclosure,Paper/Films,No,"Due to a printing error, patients received appointment reminders containing other patients’ protected health information (PHI).  The PHI involved in the breach included the names, medical record numbers, the types of appointments to be scheduled, and provider information for approximately 630 individuals. Following the breach, additional safeguards were implemented to prevent future disclosures.  OCR reviewed the covered entity’s policies and procedures to ensure compliance with the Privacy and Security Rules. "
1018,David E. Hansen DDS PS ,WA,Healthcare Provider,2000,01/29/2015,Theft,"Other Portable Electronic Device, Paper/Films",No,"On January 29, 2015, the covered entity (CE), David E. Hansen DDS PS, reported that a password protected computer back-up disk, 20 encrypted flash drives and 32 paper dental patients' records were stolen during a break-in at the CE’s facility.  The media devices contained the electronic protected health information (ePHI) of approximately 2000 individuals.  The PHI involved in the breach included patients’ names, diagnoses, medications, and other clinical information.  The CE provided breach notification to HHS, affected individuals, and the media.  The CE improved physical security and retrained workforce members.  OCR obtained assurances that the CE implemented the corrective actions noted above."
1019,Diana S. Guth DBA Home Respiratory Care,CA,Healthcare Provider,1285,01/28/2015,Unauthorized Access/Disclosure,Email,No,"The covered entity (CE), Home Respiratory Care, reported a breach of 1,285 individuals’ electronic protected health information (ePHI), as a result of a workforce member emailing holiday cards and newsletters to its patients in a group email without masking the recipients' addresses. This action, or lack thereof, left every recipient's email address exposed, which may have included names, as well as an implicit indication that the individual had received respiratory treatment.  The CE provided OCR with evidence that it responded to the security incident and undertook steps to prevent the risk of future security incidents by implementing new mail merge safeguards; implementing new, technical safeguards; sanctioning the workforce members involved; and re-training the entire workforce.  OCR provided technical assistance regarding the HIPAA Security Rule.

"
1020,California Pacific Medical Center ,CA,Healthcare Provider,845,01/23/2015,Unauthorized Access/Disclosure,Electronic Medical Record,No,"On or about October 15, 2014, during a routine review of workforce members’ use of electronic protected health information (ePHI), the covered entity (CE), California Pacific Medical Center, discovered that a workforce member in the pharmacy department had impermissibly accessed the medical records of 13 coworkers. A subsequent audit showed that from October 2013 to October 2014, the workforce member had impermissibly used the medical records of a total of 845 individuals. The ePHI accessed included patient demographics, last four digits of social security numbers, clinical information about diagnoses, clinical notes, physician order information, laboratory and radiological data, and prescription information. OCR verified that the CE applied employee sanctions pursuant to its policy and procedure, provided breach notification to HHS, affected individuals, and the media, and retrained employees on relevant HIPAA policies and procedures.
"
1021,"Ronald D. Garrett-Roe, MD",TX,Healthcare Provider,1600,01/23/2015,Hacking/IT Incident,Desktop Computer,No,"Alleged hackers gained unauthorized access to one or two hard drives on the desktop computers of the covered entity (CE), Dr. Ronald D. Garrett-Roe, affecting approximately 1,600 patients’ protected health information.  The CE reported that the hard drive had been removed, all of the files copied, and the hard drive formatted, which caused all of the computer programs, the operating system, and many patient records to be erased.   Dr. Garrett-Roe is no longer a covered entity.
"
1022,St. Peter's Health Partners,NY,Healthcare Provider,5117,01/23/2015,Theft,Other Portable Electronic Device,No,
1023,"Rainier Surgical, Incorporated",TX,Healthcare Provider,4920,01/16/2015,Theft,Paper/Films,No,"OCR opened an investigation of the covered entity (CE), Rainier Surgical, Inc., after it reported that a file drawer with explanations of benefits containing the protected health information (PHI) of 4,290 individuals was stolen from a warehouse.  The PHI included names, addresses, dates of birth, health insurance information, explanations of benefits, and in some cases, credit card numbers and social security numbers.  Upon discovering the breach, the CE filed a police report.  The CE provided substitute notice and media notification in the localities with greater than 500 individuals affected.  The CE offered one year of free credit monitoring services to individuals whose social security numbers may have been compromised.  Following this breach, the CE retrained employees, reviewed its policies and procedures, and began storing some PHI with an on-site third party secure storage vendor.  OCR confirmed that the CE took the actions described above."
1024,National Pain Institute,FL,Healthcare Provider,500,01/15/2015,Improper Disposal,"Desktop Computer, Laptop",No,"From July 13, 2013, to August 13, 2013, the covered entity (CE), National Pain Institute, distributed outdated computers to its employees for their personal use without first deleting all electronic protected health information (ePHI) from the computers. The computers contained the PHI of approximately 500 individuals, including names, addresses, dates of birth, diagnoses, and other treatment information.  The CE provided breach notification to HHS, affected individuals, and the media.  In response to the incident, The CE tracked the computers, repossessed those computers that it was able to locate, and obtained written acknowledgement from the former employees that the PHI from the computers was not used or disclosed to others.  In addition, the CE improved safeguards by encrypting all computers, upgrading the malware and software of desktop computers, improving network and email security, improving identity management, and automating and standardizing security for devices containing ePHI.  The CE also updated its HIPAA policies and procedures, including a policy for responding to security incidents.  OCR obtained assurances that the CE implemented the corrective actions listed. "
1025,University Hospitals,OH,Healthcare Provider,833,01/15/2015,Unauthorized Access/Disclosure,Electronic Medical Record,No,
1026,Tennessee Rural Health Improvement Association,TN,Health Plan,79000,01/13/2015,Unauthorized Access/Disclosure,Other,No,"A business associate (BA), BlueCross BlueShield, created a mailing list of its members for the purpose of selling Medicare Advantage marketing products, an activity that was outside of that permitted by the BA agreement.  This breached affected 79,000 individuals and included their demographic information. The covered entity (CE), Tennessee Rural Health Improvement Association, provided breach notification to its members that were enrolled in the Medicare supplement insurance plans and non-Medicare insurance plans, as well as to HHS and the media.  Following the breach, the CE revised its policies, implemented new technical safeguards, and improved physical security.  In addition, it retrained its workforce on the appropriate usage of protected health information (PHI), and minimum necessary determinations for the use and disclosure of PHI.  OCR reviewed the BA agreement in place between the CE and BA and determined that it met the requirements of the HIPAA Breach Notification Rule.  OCR obtained assurances that the CE implemented the corrective actions listed above."
1027,Children's Eyewear Sight,CA,Healthcare Provider,1030,01/12/2015,Theft,Desktop Computer,No,
1028,Henry Ford Health System,MI,,,01/09/2015,,,No,"Henry Ford Health System, the covered entity (CE), reported  a breach that occurred on October 23, 2014, when a physician lost a portable electronic device (a “flash” drive). The physician failed to adhere to the CE’s policy mandating use of employer-issued flash drives and padlocks. The breach affected 2,336 individuals.  The protected health information (PHI) involved in the breach included clinical and demographic information. Following the breach, the CE provided breach notification to affected individuals, the media, and HHS.  It also sanctioned the employee involved in the breach based on the severity of the noncompliance.  OCR obtained documented assurances that the CE implemented the corrective action steps above.  After OCR provided substantial technical assistance to the CE on the Security Rule’s Risk Analysis requirements, the CE provided  written assurances to OCR that it will: create a more robust asset management program over the next 6-8 months and would provide that documentation to OCR; complete an enterprise data mapping and asset inventory by December 31, 2017; and 3) submit a fully executed copy of the business associate agreement (BAA) to OCR upon signature of a Master Service Agreement (MSA) and Statement of Work (SOW) for data mapping services once its vendor is chosen.  This review was consolidated into an existing investigation of the CE."
1029,"Aspire Indiana, Inc.",IN,Healthcare Provider,43890,01/07/2015,Theft,Laptop,No,
1030,Saint Louis County Department of Health,MO,Healthcare Provider,4000,01/07/2015,Unauthorized Access/Disclosure,"Email, Network Server",No,"On November 18, 2014, an employee of the covered entity (CE), Saint Louis County Department of Health, resigned her position and then impermissibly emailed her personal email account a spreadsheet that was used to reconcile bills for medical services provided to the CE's patients.  The types of protected health information (PHI) contained in the spreadsheet included the names, social security numbers, and dates of service of approximately 4,000 patients, along with the names of the medical providers.  The CE provided breach notification to HHS, affected individuals, and the media, and also filed a police report.  The CE terminated the former employee’s access to its patient database and retrained employees on its HIPAA policies and procedures regarding HIPAA.  OCR obtained assurances that the CE implemented the corrective actions listed.  "
1031,VA Corporate Data Center Operations/Austin Information Technology Center ,TX,Healthcare Provider,7029,01/07/2015,Hacking/IT Incident,Network Server,No,"The covered entity (CE), Veterans Health Administration, discovered that its public facing telehealth website administered by one of its business associates (BA), AuthentiDate Holding Corporation, potentially impermissibly disclosed the protected health information (PHI) of 7,054 individuals.  The types of PHI potentially involved in the breach included names, addresses, birthdates, phone numbers, and VA patient identification numbers of veterans who used the telehealth system.  The CE provided breach notification to individuals, HHS, and the media, and also provided credit monitoring to the affected individuals.  OCR verified that the CE had a proper BA agreement in place that restricted the BA’s use and disclosure of PHI and required the BA to safeguard all PHI.  Upon discovery of the breach, the CE took steps to enforce the requirements of its BA agreement and determined not to renew the agreement with the identified BA.  The CE reported that they are no longer doing business with the identified BA.  OCR opened a separate case to review the BA’s compliance with the HIPAA Security Rule. "
1032,mdINR LLC,FL,Healthcare Provider,1859,01/05/2015,Unauthorized Access/Disclosure,Email,No,"The covered entity (CE), MDINR, LLC, discovered that on November 3, 2014, an information technology employee sent an unsecured email to a manufacturer representative. The email had an attached spreadsheet that included 1,859 patients’ protected health information (PHI).  The PHI in the attached excel spreadsheet included patients’ names, billing account numbers,  patients’ reporting dates, internal site codes, and the address of the CE-affiliated facility that delivered the equipment. Following the breach, the CE sanctioned the employee who caused the breach with a written warning. The CE confirmed its practice of providing HIPAA Training to all new employees within 30 days of hiring and safeguarding data by providing system access to employees based on an employee’s job title or role.  The CE provided breach notification to HHS, and notice to the 1,859 affected individuals.  Media notice was not provided due to fewer than 500 affected individuals being in any one state. OCR obtained assurances that the CE implemented the corrective actions listed above.
"
1033,"Murali Menon, Privacy Manager Breach",CA,Healthcare Provider,,12/30/2014,Theft,"Laptop, Other Portable Electronic Device, Paper/Films",No,"The covered entity (CE), Murali Menon and Physicians Skin and Weight Centers , reported that on November 4, 2014, an employee’s password protected laptop computer and external hard drive containing the protected health information (PHI) of 2,855 individuals were stolen from a locked vehicle.  The theft was discovered within an hour and police were immediately notified.  The types of PHI involved in the breach included demographic, financial and clinical information, including names, addresses, dates of birth, social security numbers, credit card/bank account numbers, claims information, and other treatment information.  The CE provided breach notification to HHS, the media, and affected individuals, and provided the affected individuals one year of free credit monitoring.  As a result of OCR’s investigation, the CE discontinued all use of external hard drives and encrypted all its laptops within 30 days.  Additionally the CE revised its policies regarding the removal of electronic devices from the work site,  re-trained staff, and provided OCR with its policies and procedures regarding the administrative, physical, and technical safeguarding of electronic PHI."
1034,Independence Blue Cross and AmeriHealth New Jersey ,PA,Health Plan,12450,12/26/2014,Improper Disposal,Paper/Films,No,"Members of the covered entity’s (CE) maintenance team improperly disposed of four boxes of paper records containing the protected health information (PHI) of approximately 12,450 individuals in error during the course of an office move within the building.  The trash was collected by the CE’s trash removal vendor the next day and transported to a recycling plant. The PHI involved in the breach included names, addresses, identification numbers (including social security numbers), home phone numbers, physician information, health care plans, and group numbers.  The CE was not able to determine whether or not someone at the recycling center may have acquired or viewed the PHI.  The CE, Independence Blue Cross, provided breach notification to HHS, the media, and affected individuals.  The CE offered all members who had their member identification number compromised one year of free credit monitoring.  As a result of OCR’s investigation, the CE revised its policies and procedures for trash disposal, as well as maintenance and disposal of provider reports. The CE also sent a reminder to all associates regarding its policies and procedures for proper handling of paper documents and proper disposal of trash and documents containing PHI.  Furthermore, the CE sanctioned the employees responsible for the incident.  The CE initiated plans to provide additional staff training on its HIPAA policies and procedures for trash disposal.  "
1035,Northwestern Memorial HealthCare,IL,,,12/23/2014,,,No,
1036,"Mercy Medical Center Redding - Oncology Clinic, Privacy Manager Breach",CA,Healthcare Provider,,12/22/2014,Hacking/IT Incident,Other,No,"On December 13, 2014, the covered entity (CE), Mercy Medical Center’s Redding Oncology Clinic, reported that electronic protected health information (ePHI) was accessible on the Internet when its business associate (BA), Write-Type, Inc., left the ePHI on its website.  The website contained the ePHI of approximately 616 individuals and included names, addresses, medical record numbers, physicians’ names, and clinical information such as diagnoses, medications, lab reports, and other treatment information.  The CE provided breach notification to HHS, affected individuals and the media.  The CE revised its policies and procedures.  OCR obtained assurances that the CE implemented the corrective actions noted above."
1037,"The Corvallis Clinic, P.C.",OR,Healthcare Provider,41000,12/19/2014,Theft,Laptop,No,"A personal laptop computer belonging to an employee of the covered entity (CE), The Corvallis Clinic, P.C., was stolen from the employee’s locked automobile.  The stolen laptop contained the electronic protected health information (ePHI) of 41,000 individuals and included patients’ names, addresses, dates of birth, phone numbers, appointment dates, and the names of treating providers.  The CE provided the required notifications under the Breach Notification Rule.  Following the breach the CE sanctioned the involved employee and implemented network access control software that restricts employees from gaining access to internal network resources using personally owned equipment.  OCR’s investigation confirmed that the appropriate notifications were made and that corrective action steps were taken."
1038,Pediatric Gastroenterology Consultants,CO,Healthcare Provider,5000,12/19/2014,Theft,Laptop,No,"On October 16, 2014, an employee of the covered entity (CE), Pediatric Gastroenterology Consultants, P.C., discovered that a laptop owned by the CE had been stolen from his vehicle. The laptop was password-protected but unencrypted, and it contained the electronic protected health information (ePHI) of approximately 5,000 individuals. Specifically, it contained patients’ first and last names, dates of birth, dates of service, and medical information including, medical histories, lab test results, diagnoses, and medical treatment recommendations. The CE provided breach notification HHS, affected individuals, the media. Following the breach, the CE implemented corrective actions, such as encryption and employee security training, to prevent similar breaches from occurring in the future. OCR obtained assurances that the CE implemented the corrective actions listed above.
"
1039,Walgreen Co.,IL,Healthcare Provider,160000,12/15/2014,Other,Paper/Films,No,"The covered entity (CE), Walgreens, mailed patient notification letters to incorrect third parties. The letters included first and last names, addresses, dates of birth, phone numbers, provider names, and details of the vaccines administered and affected approximately 160,000 individuals.  The CE provided breach notification to HHS, affected individuals, and the media, and placed notice on its website.  Following the breach, the CE resolved issues in its use of the electronic health record (EHR) that were factors in the breach, updated data in the prescriber database and trained its staff on the new requirements.  As a result of OCR’s investigation, Walgreens improved safeguards by resolving two issues in its use of the EHR."
1040,St. Mary Mercy Hospital,MI,Healthcare Provider,1488,12/12/2014,Unauthorized Access/Disclosure,Email,No,\N
1041,Clay County Hospital,IL,Healthcare Provider,12621,12/12/2014,Unauthorized Access/Disclosure,Other,No,"On November 2, 2014, the covered entity’s (CE) president received an anonymous email threatening to release the protected health information (PHI) of hospital clinic patients to the public unless he or she received a substantial payment from the CE.  This threat could have affected patients who visited the hospital on or before February 2012, approximately 12,621 individuals.  The CE determined that the CE’s servers were not hacked nor were its information systems compromised.  OCR determined that the voluntary corrective actions of the CE resolved this matter.  Nonetheless, the CE provided breach notification to HHS, potentially affected individuals, and the media, and offered identity theft protection to the notified individuals.  Additionally, the CE developed an encryption program and network auditing program.  It re-trained staff on its newly implemented programs and its privacy and security policies.  OCR obtained documented assurances that the CE implemented corrective action steps noted above..

"
1042,"District Medical Group, Privacy Manager Breach",AZ,Healthcare Provider,616,12/12/2014,Unauthorized Access/Disclosure,Other Portable Electronic Device,No,"On December 12, 2014, the covered entity (CE), District Medical Group, reported that when a workforce member used a thumb drive while working from home the contents of the thumb drive became accessible on the Internet.  The media device contained the electronic protected health information (ePHI) of approximately 616 individuals.  The PHI involved in the breach included names, addresses, social security numbers, transaction amounts and clinical information.  The CE provided breach notification to HHS, the affected individuals and the media.  The CE revised its policies and procedures and retrained workforce members.  OCR obtained assurances that the CE implemented the corrective actions noted above."
1043,Sony Pictures Entertainment Health and Welfare Benefits Plan (the Plan),CA,Health Plan,30000,12/12/2014,Hacking/IT Incident,"Desktop Computer, Laptop, Network Server",No,OCR determined that no breach occurred in this case.
1044,Highlands Cashier Hospital,NC,Healthcare Provider,,12/11/2014,Unauthorized Access/Disclosure,Network Server,No,"A business associate (BA), Computer Programs and Systems, Inc., adjusted the covered entity's (CE) firewall in a manner that potentially exposed the protected health information (PHI) of 26,115 individuals on the internet.  The types of PHI included patients' names, addresses, dates of birth, treatment information, and social security numbers (for 21,072 individuals).  The CE sent timely breach notification to HHS, affected individuals, and the media.  The CE also posted notification about the breach on its website.  In response to the breach, the CE implemented additional firewall safeguard procedures, began monitoring traffic to and from its website, and began conducting external vulnerability scans.  OCR obtained assurances that the CE implemented the corrective actions listed above."
1045,ReachOut Home Care [Case #16687],KY,Healthcare Provider,4500,12/09/2014,Theft,Laptop,No,
1046,Florida Department of Health,FL,Healthcare Provider,2477,12/08/2014,Other,Email,No,"An employee of the covered entity (CE), Florida Department of Health, sent an unencrypted email with an attachment containing the electronic protected health information (ePHI) of 2,477 patients to four physicians who were the intended recipients of the email.  The ePHI in the attachment included patients’ dates of birth, social security numbers, screening test results, and diagnoses.  The CE provided breach notification to HHS, affected individuals, and the media.  Following the breach, the CE contacted the recipients of the emails and verified that the emails were deleted and that the ePHI was not further used or disclosed.  The responsible workforce member submitted her resignation before CE’s investigation was completed.  The CE also reviewed its privacy and security policies and procedures and retrained staff.  OCR obtained and reviewed copies of the CE’s policies and procedures and documentation of staff training."
1047,The Hearing Zone,UT,Healthcare Provider,623,12/05/2014,Theft,Laptop,No,"OCR opened an investigation of the covered entity (CE), The Hearing Zone, after it reported that an unencrypted laptop computer containing electronic protected health information (ePHI) in the form of demographic information (names, dates of birth) and clinical information (hearing test results) was stolen from a clinic.  The breach affected 623 of the CE's patients and 556 patients from three other clinics where the CE provided audiology services pursuant to an agreement with those clinics.  Upon discovering the breach, the CE filed a police report, and the police recovered the laptop a few weeks later.  The CE provided breach notification to HHS, and affected individuals and offered all affected individuals credit monitoring services upon request.  As a result of OCR’s investigation and substantial technical assistance, the CE provided breach notification to the media, developed written policies and procedures, implemented security awareness for its workforce, and, implemented encryption and other security measures for workstations in its network that contain or transmit ePHI."
1048,North Big Horn Hospital,WY,Healthcare Provider,1607,12/01/2014,Loss,Paper/Films,No,"The covered entity (CE), North Big Horn Hospital, reported that on October 2, 2014, it discovered that an Emergency Department (ED) logbook containing protected health information (PHI) was lost, affecting 1,607 individuals. The logbook contained the demographic and clinical information of patients seen in the ED from May 2012 through October 2013.  The CE provided breach notification to HHS, affected individuals, and the media.  OCR obtained and reviewed the CE's relevant HIPAA policies and procedures and provided technical assistance. On August 25, 2015, the CE reported that during a recent re-organization it found the reported logbook in a locked office on a shelf behind several binders. Accordingly, OCR has closed the investigation."
1049,"Computer Programs and Systems, Inc. ",AL,Business Associate,25764,11/26/2014,Theft,Network Server,Yes,
1050,Northfield Hospital & Clinics,MN,Healthcare Provider,1778,11/25/2014,Improper Disposal,Paper/Films,No,\N
1051,AdminisTEP,TX,Business Associate,4469,11/25/2014,Unauthorized Access/Disclosure,Paper/Films,Yes,"The covered entity’s (CE) print and mail sorting vendor, Administep, improperly stuffed and mailed letters which contained other enrollees’ names, addresses, subscriber identifications, claims amounts, and service descriptions.  The breach affected approximately 4,469 of the CE’s enrollees.  The CE provided breach notification to HHS, the media, and affected individuals, and offered individuals free one-year identity theft protection services.  In response to the incident, the CE provided evidence that it placed the business associate (BA) responsible for the breach on a corrective action plan which required the BA to complete a documented quality assurance check for each new implementation or modification of a mailing project.  This includes administrative sign- offs and ongoing, random audits on a sample of envelopes for each project.  OCR obtained assurances that the CE implemented the corrective actions listed.  "
1052,True Vision Eyecare,OH,Healthcare Provider,542,11/21/2014,Theft,Laptop,No,"A burglar stole two laptop computers from the covered entity’s (CE) office.  One of the stolen laptops contained the protected health information (PHI) of 542 individuals that included first and last names and eyeglass prescriptions.  The CE provided breach notification to HHS, affected individuals, and the media.  Following the breach, the CE purchased new laptops that are password protected with automatic shut-off features, and also retrained staff on security.  OCR obtained documentation that the CE implemented the corrective actions it took in this matter."
1053,Visionworks Inc.,TX,Health Plan,47683,11/21/2014,Theft,Network Server,No,
1054,"Baptist Primary Care, Inc.",FL,Healthcare Provider,1449,11/20/2014,Unauthorized Access/Disclosure,Electronic Medical Record,No,\N
1055,"MetroPlus Health Plan, Inc.",NY,Health Plan,31980,11/20/2014,Other,Email,No,\N
1056,Kirkbride Center,PA,Healthcare Provider,860,11/19/2014,Theft,Paper/Films,No,"In August 2014, an Assistant U.S. Attorney contacted the CE, Kirkbride Center, to advise that an individual was arrested in Florida and would be tried for identity theft.  This individual had hard copies of the CE’s daily census reports containing patients’ names, dates of birth, and some social security numbers, affecting approximately 869 individuals.  The arrestee was not known to have direct ties to the CE’s facility and was convicted of identity theft.  The CE’s internal investigation determined that a rogue employee stole the reports and the CE continued the investigation in hopes of determining which employee was responsible for the theft.  The CE provided breach notification HHS, the media, and affected individuals, and posted notice on its website.  The CE also offered affected individuals one year of free identity theft protection.  Due to OCR’s investigation, the CE began using a new billing software system, which allows it to revise the daily census report to exclude patients’ dates of birth and social security numbers.  Furthermore, the CE revised the report distribution process to limit the distribution of the report to specific unit personnel.  "
1057,Brigham and Women's Hospital,MA,Healthcare Provider,999,11/17/2014,Theft,"Laptop, Other Portable Electronic Device",No,"An employee of the covered entity (CE), Brigham & Women’s Hospital, had an encrypted laptop and cell phone stolen during an armed robbery and was forced to disclose password and encryption keys during the robbery.  The devices contained the protected health information PHI) of 999 individuals.  The types of PHI involved in the breach included names, medical records numbers, age, and diagnostic information.  In response to OCR’s investigation, the CE initiated a new enterprise wide risk analysis."
1058,REEVE-WOODS EYE CENTER,CA,Healthcare Provider,30000,11/15/2014,Theft,Network Server,No,"OCR investigated the covered entity (CE), Reeve-Woods Eye Center, after the CE reported a breach of 43,000 individuals’ electronic protected health information (ePHI) regarding malware that infiltrated its electronic network on, or around, August 1 through September 17, 2014. The malware caused, among other things, the system to disclose screenshots and keystrokes outside the CE’s network. The types of ePHI involved in the breach included patients' names, social security numbers, dates of birth, addresses, telephone numbers, dates of service, insurance information, diagnosis codes, treatment information, and medical histories.  The CE informed and cooperated with the FBI regarding the incident. In response to OCR’s contact in this matter, the CE ensured the proper breach notifications were provided, cleared the system of the malware, and took steps to increase its safeguards and technical security measures. "
1059,Colorado River Indian Tribes,AZ,Healthcare Provider,1296,11/14/2014,Other,Email,No,"An employee of the covered entity’s (CE) health care component, Department of Health and Human Services, emailed a file containing electronic protected health information (ePHI) to his personal web-based email account in October 2013 to complete his work off-site.  The breach affected the ePHI of 1,296 individuals, including demographic, financial, clinical, and other information.  The CE provided breach notifications to individuals, the media, and HHS.  Following the breach, the CE sanctioned the involved employee and retrained employees.  It also strengthened its administrative, technical and physical safeguards for ePHI, analyzed risks to its ePHI, and took steps to manage risks regarding ePHI.  It also revised its written security policies and procedures.  OCR obtained assurances that the CE implemented the corrective actions noted above. "
1060,Iron Mountain,CA,Business Associate,2691,11/14/2014,Theft,Paper/Films,Yes,\N
1061,Loi Luu,CA,Healthcare Provider,13177,11/14/2014,Theft,Network Server,No,"OCR investigated the covered entity (CE), Loi Luu, M.D., after the CE reported a breach of 13,177 individuals’ protected health information (PHI) and electronic PHI due to lost or stolen computer equipment and compromised lab results on, or around September 17, 2014. The breach affected patients’ names, addresses, phone numbers, dates of birth, social security numbers, medical insurance information and/or blood test results. The CE reported the incident to local law enforcement.  In response to OCR’s contact in this matter, the CE ensured the proper breach notifications were provided, took steps to prevent the risk of future physical theft incidents at its office (such as by adding locks, cameras, and alarms), increased its technical controls of ePHI (such as utilizing encrypted software and conducting risk assessments), adopted HIPAA policies and procedures, and engaged in HIPAA training. The CE provided documentation of these corrective steps to OCR. "
1062,"Indian Health Service, Aberdeen Area Office",SD,Health Plan,,11/13/2014,Unauthorized Access/Disclosure,Email,No,
1063,Visionworks Inc.,TX,Health Plan,74944,11/10/2014,Loss,Network Server,No,"The covered entity (CE), Visionworks Inc., mislaid a partially encrypted, decommissioned computer server from its in-store lab in Annapolis, Maryland which was not recovered.  The server’s hard drive contained the unencrypted protected health information (PHI) of approximately 74,000 individuals.  The PHI on the server contained demographic, financial, and clinical information.  Following the breach, the CE fully encrypted all servers at all of their locations and replaced servers.  The CE provided breach notification to HHS, affected individuals, and the media, and offered one year of free credit monitoring.  The CE also sent letters to each State Attorney General and posted information on the CE’s website regarding the server incident.  In addition, the CE re-trained workforce members, instituted new training requirements on privacy and security awareness, and provided refresher training on incident management.  Following OCR’s investigation, the CE secured servers with cable locks and tested and installed a maximum security system that encrypts all hard drives on each server.  Additionally, the CE completed a company-wide server inventory and hard drive destruction and performed a physical audit of all servers’ boxes.  In addition, the CE created a comprehensive system disposal plan."
1064,Weill Cornell Medical College,NY,Healthcare Provider,3936,11/07/2014,Theft,"Electronic Medical Record, Laptop",No,
1065,"Central Dermatology Center, P.A.",NC,Healthcare Provider,76258,11/07/2014,Theft,Network Server,No,
